,GO Primary Key,Council District,GO Highest Offense Desc,Highest NIBRS/UCR Offense Description,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate,latitude,longitude
111,2015780843,2,AUTO THEFT                    ,Auto Theft,19-Mar-15,1000 ACORN OAKS DR                                                                                  ,N,23-Mar-15,F,78745,24.24,3097949,10044055,30.195702,-97.7965642
112,20151850772,2,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault,4-Jul-15,1000 ACORN OAKS DR                                                                                  ,C,15-Jul-15,F,78745,24.24,3097949,10044055,30.195702,-97.7965642
113,20151161390,9,BURGLARY OF VEHICLE           ,Theft,26-Apr-15,1000 BARTON SPRINGS RD                                                                              ,N,30-Apr-15,D,78704,13.05,3110501,10067912,30.2596948,-97.7538928
114,20155038000,9,BURGLARY OF VEHICLE           ,Theft,28-Aug-15,1000 BARTON SPRINGS RD                                                                              ,N,31-Aug-15,D,78704,13.05,3110501,10067912,30.2596948,-97.7538928
115,20155038864,9,BURGLARY OF VEHICLE           ,Theft,2-Sep-15,1000 BARTON SPRINGS RD                                                                              ,N,3-Sep-15,D,78704,13.05,3110501,10067912,30.2596948,-97.7538928
116,20155009444,4,BURGLARY OF VEHICLE           ,Theft,6-Mar-15,1000 BIRD CREEK DR                                                                                  ,N,9-Mar-15,E,78758,18.22,3127786,10108760,30.371652,-97.69726034
117,20152660621,3,AUTO THEFT                    ,Auto Theft,23-Sep-15,1000 BLOCK BARTON SKWY                                                                              ,N,24-Sep-15,D,78704,13.07,3106110,10058957,0,0
118,2015480723,3,AUTO THEFT                    ,Auto Theft,17-Feb-15,1000 BLOCK COLONIAL PARK BLVD                                                                       ,N,18-Feb-15,D,78745,24.03,3109357,10048157,0,0
119,2015361313,9,THEFT CATALYTIC CONVERTER     ,Theft,5-Feb-15,1000 BLOCK E 50TH ST                                                                                ,N,19-Feb-15,B,78751,3.04,3123581,10086150,0,0
120,201570863,3,BURGLARY OF VEHICLE           ,Theft,7-Jan-15,1000 BLOCK E 5TH ST                                                                                 ,N,12-Jan-15,G,78702,9.02,3117671,10069478,14.600021,120.9954717
121,20151780329,3,BURGLARY OF VEHICLE           ,Theft,27-Jun-15,1000 BLOCK E 5TH ST                                                                                 ,N,1-Jul-15,G,78702,9.02,3117671,10069478,14.600021,120.9954717
122,2015880650,1,THEFT                         ,Theft,29-Mar-15,1000 BLOCK E 9TH ST                                                                                 ,N,14-Apr-15,G,78702,9.01,3118019,10070835,6.2957285,-10.7843928
123,2015821398,9,AUTO THEFT                    ,Auto Theft,23-Mar-15,1000 BLOCK E RIVERSIDE DR                                                                           ,N,25-Mar-15,H,78704,14.02,3115995,10064108,14.5962047,120.9795226
124,2015791876,4,AUTO THEFT                    ,Auto Theft,20-Mar-15,1000 BLOCK E RUNDBERG LN                                                                            ,N,24-Mar-15,E,78753,18.33,3132107,10103129,0,0
125,20153351259,1,THEFT FROM PERSON             ,Theft,1-Dec-15,1000 BLOCK RED RIVER ST                                                                             ,C,2-Dec-15,G,78701,11,3116536,10071770,0,0
126,20153571241,1,THEFT FROM PERSON             ,Theft,23-Dec-15,1000 BLOCK RED RIVER ST                                                                             ,C,23-Dec-15,G,78701,11,3116536,10071770,0,0
127,20151510685,1,ROBBERY BY ASSAULT            ,Robbery,31-May-15,1000 CLAYTON LN                                                                                     ,N,3-Aug-15,I,78723,21.05,3126206,10089666,30.31959766,-97.70434403
128,20155009058,1,THEFT                         ,Theft,3-Mar-15,1000 COLLINWOOD WEST DR                                                                             ,N,9-Apr-15,E,78753,18.33,3134997,10108805,30.371323,-97.67442
129,20155026072,1,THEFT                         ,Theft,16-Jun-15,1000 COLLINWOOD WEST DR                                                                             ,N,14-Jul-15,E,78753,18.33,3134997,10108805,30.371323,-97.67442
130,20155037763,1,THEFT                         ,Theft,27-Aug-15,1000 COLLINWOOD WEST DR                                                                             ,N,8-Mar-16,E,78753,18.33,3134997,10108805,30.371323,-97.67442
131,20155054427,1,THEFT                         ,Theft,14-Dec-15,1000 COLLINWOOD WEST DR                                                                             ,N,9-Feb-16,E,78753,18.33,3134997,10108805,30.371323,-97.67442
